gauge,amount,symbol,token_price_current,usd,score_current,token_current,token_name_current,per,transaction_hash_current,block_hash_current,block_number_current,amount_last,token_price_last,usd_last,score_last,token_last,token_name_last,per_vote_last,transaction_hash_last,block_hash_last,block_number_last,chng,forecast,per_current
ETH+CNC (0x838a…),"4,874",CNC,1.19,5799.876923076923,201851.60527221285,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,0.0287,0x40d80af2ad467bba1bfa5d6c005b633f9580ed21c46238c05216ebb2446c502e,0x7fe5b969784c73a6378cd21cef7816210eca59b23d60ddb1b596c8f33c7c177a,18334549.0,"4,874",1.19,5799.876923076923,319953.1862527411,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,0.0181,0x40d80af2ad467bba1bfa5d6c005b633f9580ed21c46238c05216ebb2446c502e,0x7fe5b969784c73a6378cd21cef7816210eca59b23d60ddb1b596c8f33c7c177a,18334549.0,0.0,5799.876923076923,
FRAX+crvUSD (0x0CD6…),"96,000",CRV,0.594484,57070.464,868514.9874554488,0xD533a949740bb3306d119CC777fa900bA034cd52,Curve DAO Token,0.0657,0xce41cfc8a8b335b37b21bcf8235a144563c8a11ef787677cda0a59552277c4f1,0xe26dea5f7adb67130a5bde3299ddde7f091b4fcb403308a280eb0b06575e2c96,18562960.0,"96,000",0.594484,57070.464,1112412.8401952146,0xD533a949740bb3306d119CC777fa900bA034cd52,Curve DAO Token,0.0513,0xce41cfc8a8b335b37b21bcf8235a144563c8a11ef787677cda0a59552277c4f1,0xe26dea5f7adb67130a5bde3299ddde7f091b4fcb403308a280eb0b06575e2c96,18562960.0,0.0,57070.464,
MIM+3Crv (0x5a6A…),"121,440,000",SPELL,0.00055115,66931.656,1980840.9102130388,0x090185f2135308BaD17527004364eBcC2D37e5F6,Spell Token,0.0338,0xe5a6601bcce380a1486c31584053f18a0285d6151e689ee22b3d407e0df51f74,0xa3378f903b3e31aba285e51e5050aee3cf828347b8ee72f7663a5ab66c5a1bc2,18636766.0,"105,600,000",0.00056326,59480.256,1823042.0306689693,0x090185f2135308BaD17527004364eBcC2D37e5F6,Spell Token,0.0326,0x5a555c5970e330208ba5f105b625c64ec24105d0c5a777f74a80c63ca7ef80ec,0x34248c8b6c91caa61d432bc7b4c921fa153946a5fcbd98201f8a4999ef32da8b,18558882.0,12.5,66931.656,
WETH+CVX (0xB576…),"19,007",CVX,3.76,71466.47039999999,1911022.17538628,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0374,0x270b6547e994b51ac95e7865acdb59f9b1e025defc2d6a01235cff816ccc8c4e,0xf3cb34975fbdf3e230f442f6c4326da634c672b5392d57087a386fa513d62af6,18638238.0,"19,007",3.63,68995.55519999999,2396718.7897177143,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0288,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,3.6,71466.47039999999,
CVX+FRAXBP (0xBEc5…),"1,010",CVX,3.76,3797.2992,57894.35031779872,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0656,0x270b6547e994b51ac95e7865acdb59f9b1e025defc2d6a01235cff816ccc8c4e,0xf3cb34975fbdf3e230f442f6c4326da634c672b5392d57087a386fa513d62af6,18638238.0,"1,010",3.63,3666.0096,71769.74858485276,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0511,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,3.6,3797.2992,
frxETH+CVX (0x47D5…),"5,207",CVX,3.76,19578.4704,314680.8093488091,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0622,0x270b6547e994b51ac95e7865acdb59f9b1e025defc2d6a01235cff816ccc8c4e,0xf3cb34975fbdf3e230f442f6c4326da634c672b5392d57087a386fa513d62af6,18638238.0,"5,207",3.63,18901.5552,387519.8270240436,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0488,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,3.6,19578.4704,
CRV+cvxCRV (0x971a…),"82,591",CVX,3.76,310541.1072,9144308.45322589,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0340,0x270b6547e994b51ac95e7865acdb59f9b1e025defc2d6a01235cff816ccc8c4e,0xf3cb34975fbdf3e230f442f6c4326da634c672b5392d57087a386fa513d62af6,18638238.0,"83,599",3.63,303463.3536,11442426.742753424,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0265,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,2.3,310541.1072,
cvxCRV+FRAXBP (0x31c3…),834,CVX,3.76,3136.7424,51420.98099991917,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0610,0x270b6547e994b51ac95e7865acdb59f9b1e025defc2d6a01235cff816ccc8c4e,0xf3cb34975fbdf3e230f442f6c4326da634c672b5392d57087a386fa513d62af6,18638238.0,"1,716",3.63,6230.8224,118129.64582290982,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0527,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,-49.7,3136.7424,
FXS+cvxFXS (0x6a90…),"23,056",CVX,3.76,86691.7632,2354688.191262475,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0368,0x270b6547e994b51ac95e7865acdb59f9b1e025defc2d6a01235cff816ccc8c4e,0xf3cb34975fbdf3e230f442f6c4326da634c672b5392d57087a386fa513d62af6,18638238.0,"23,135",3.63,83980.19519999999,2855706.119523776,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0294,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,3.2,86691.7632,
cvxFXS+FRAXBP (0x21d1…),470,CVX,3.76,1768.7039999999995,34569.43406538599,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0512,0x270b6547e994b51ac95e7865acdb59f9b1e025defc2d6a01235cff816ccc8c4e,0xf3cb34975fbdf3e230f442f6c4326da634c672b5392d57087a386fa513d62af6,18638238.0,"1,217",3.63,4418.7264,89600.70328839176,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0493,0xe7d635c5d3b811dcaaeb7503df02fb743d3585ff07a95b28a1d48c2af381a40c,0xdf7f2b2cf71d8189fb536ebdad6e4aa6521dbb7312430021c9908786693044ad,18538795.0,-60.0,1768.7039999999995,
