gauge,amount,symbol,token_price_current,usd,score_current,token_current,token_name_current,per,transaction_hash_current,block_hash_current,block_number_current,amount_last,token_price_last,usd_last,score_last,token_last,token_name_last,per_vote_last,transaction_hash_last,block_hash_last,block_number_last,chng,forecast,per_current
ETH+CNC (0x838a…),"4,874",CNC,1.19,5799.876923076923,286234.49176493124,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,0.0203,0x40d80af2ad467bba1bfa5d6c005b633f9580ed21c46238c05216ebb2446c502e,0x7fe5b969784c73a6378cd21cef7816210eca59b23d60ddb1b596c8f33c7c177a,18334549.0,"4,874",1.19,5799.876923076923,253010.6419724928,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,0.0229,0x40d80af2ad467bba1bfa5d6c005b633f9580ed21c46238c05216ebb2446c502e,0x7fe5b969784c73a6378cd21cef7816210eca59b23d60ddb1b596c8f33c7c177a,18334549.0,0.0,5799.876923076923,
PRISMA+yPRISMA (0x6983…),57,cvxPrisma,0.617797,34.992022080000005,2.668325443032792,0x34635280737b5BFe6c7DC2FC3065D60d66e78185,Convex Prisma,13.1139,0xa6ea26e05433d07d97b51de1c007e29090adefcf1f2d3ca1893b2413eba1c72a,0x07a01da83a0ba033067f1132c447e20cc9b68c34aa037c425ae850d467b8875c,18664858.0,nan,,,,,,nan,,,,nan,34.992022080000005,
WETH+CVX (0xB576…),"19,007",CVX,4.14,78689.14559999999,2689853.4552463,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0293,0x7a5368ea55ea6b43e1b0894811f4808ea8acc78d1442848598a38b3b05904a79,0x0329ec2c03918e6cdad745560f2806c748f5a102a7b815128d1128d60ee32d71,18741549.0,"19,007",3.76,71466.47039999999,2318963.213979103,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0308,0x270b6547e994b51ac95e7865acdb59f9b1e025defc2d6a01235cff816ccc8c4e,0xf3cb34975fbdf3e230f442f6c4326da634c672b5392d57087a386fa513d62af6,18638238.0,10.1,78689.14559999999,
CVX+FRAXBP (0xBEc5…),"1,010",CVX,4.14,4181.068799999999,79713.40165601262,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0525,0x7a5368ea55ea6b43e1b0894811f4808ea8acc78d1442848598a38b3b05904a79,0x0329ec2c03918e6cdad745560f2806c748f5a102a7b815128d1128d60ee32d71,18741549.0,"1,010",3.76,3797.2992,69515.38893518453,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0546,0x270b6547e994b51ac95e7865acdb59f9b1e025defc2d6a01235cff816ccc8c4e,0xf3cb34975fbdf3e230f442f6c4326da634c672b5392d57087a386fa513d62af6,18638238.0,10.1,4181.068799999999,
frxETH+CVX (0x47D5…),"5,207",CVX,4.14,21557.1456,437924.0801474424,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0492,0x7a5368ea55ea6b43e1b0894811f4808ea8acc78d1442848598a38b3b05904a79,0x0329ec2c03918e6cdad745560f2806c748f5a102a7b815128d1128d60ee32d71,18741549.0,"5,207",3.76,19578.4704,374364.1997903561,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0523,0x270b6547e994b51ac95e7865acdb59f9b1e025defc2d6a01235cff816ccc8c4e,0xf3cb34975fbdf3e230f442f6c4326da634c672b5392d57087a386fa513d62af6,18638238.0,10.1,21557.1456,
CRV+cvxCRV (0x971a…),"81,024",CVX,4.14,335439.36,13060761.208940282,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0257,0x7a5368ea55ea6b43e1b0894811f4808ea8acc78d1442848598a38b3b05904a79,0x0329ec2c03918e6cdad745560f2806c748f5a102a7b815128d1128d60ee32d71,18741549.0,"82,591",3.76,310541.1072,10889450.867880872,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0285,0x270b6547e994b51ac95e7865acdb59f9b1e025defc2d6a01235cff816ccc8c4e,0xf3cb34975fbdf3e230f442f6c4326da634c672b5392d57087a386fa513d62af6,18638238.0,8.0,335439.36,
cvxCRV+FRAXBP (0x31c3…),407,CVX,4.14,1685.1456,38521.78174404467,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0437,0x7a5368ea55ea6b43e1b0894811f4808ea8acc78d1442848598a38b3b05904a79,0x0329ec2c03918e6cdad745560f2806c748f5a102a7b815128d1128d60ee32d71,18741549.0,834,3.76,3136.7424,59635.93906347996,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0526,0x270b6547e994b51ac95e7865acdb59f9b1e025defc2d6a01235cff816ccc8c4e,0xf3cb34975fbdf3e230f442f6c4326da634c672b5392d57087a386fa513d62af6,18638238.0,-46.3,1685.1456,
FXS+cvxFXS (0x6a90…),"23,999",CVX,4.14,99356.02559999998,3405976.381832556,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0292,0x7a5368ea55ea6b43e1b0894811f4808ea8acc78d1442848598a38b3b05904a79,0x0329ec2c03918e6cdad745560f2806c748f5a102a7b815128d1128d60ee32d71,18741549.0,"23,056",3.76,86691.7632,2814665.1608690424,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0308,0x270b6547e994b51ac95e7865acdb59f9b1e025defc2d6a01235cff816ccc8c4e,0xf3cb34975fbdf3e230f442f6c4326da634c672b5392d57087a386fa513d62af6,18638238.0,14.6,99356.02559999998,
cvxFXS+FRAXBP (0x21d1…),243,CVX,4.14,1005.5232,27440.718138358538,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0366,0x7a5368ea55ea6b43e1b0894811f4808ea8acc78d1442848598a38b3b05904a79,0x0329ec2c03918e6cdad745560f2806c748f5a102a7b815128d1128d60ee32d71,18741549.0,470,3.76,1768.7039999999995,41135.845626170114,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0430,0x270b6547e994b51ac95e7865acdb59f9b1e025defc2d6a01235cff816ccc8c4e,0xf3cb34975fbdf3e230f442f6c4326da634c672b5392d57087a386fa513d62af6,18638238.0,-43.1,1005.5232,
FPIS+cvxFPIS (0xfBB4…),"1,429",CVX,4.14,5917.8816,231942.39080768387,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0255,0x7a5368ea55ea6b43e1b0894811f4808ea8acc78d1442848598a38b3b05904a79,0x0329ec2c03918e6cdad745560f2806c748f5a102a7b815128d1128d60ee32d71,18741549.0,"1,164",3.76,4374.8352,140687.71128356832,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0311,0x270b6547e994b51ac95e7865acdb59f9b1e025defc2d6a01235cff816ccc8c4e,0xf3cb34975fbdf3e230f442f6c4326da634c672b5392d57087a386fa513d62af6,18638238.0,35.3,5917.8816,
