gauge,amount,symbol,token_price_current,usd,score_current,token_current,token_name_current,per,transaction_hash_current,block_hash_current,block_number_current,amount_last,token_price_last,usd_last,score_last,token_last,token_name_last,per_vote_last,transaction_hash_last,block_hash_last,block_number_last,chng,forecast,per_current
ETH+CNC (0x838a…),"4,874",CNC,2.24,10917.415384615386,219061.76654743112,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,0.0498,0xf71e1b44c82a9bd487317d1752aac09b22165e634cc56c9d719b3e44960e857c,0x0b7f84e24582774a346f55be951dd532a69a919823f47cbaf9735acd7aeaeaba,18950265.0,"4,874",2.24,10917.415384615386,276282.7029189408,0x9aE380F0272E2162340a5bB646c354271c0F5cFC,Conic Finance Token,0.0395,0xf71e1b44c82a9bd487317d1752aac09b22165e634cc56c9d719b3e44960e857c,0x0b7f84e24582774a346f55be951dd532a69a919823f47cbaf9735acd7aeaeaba,18950265.0,0.0,10917.415384615386,
mkUSD+USDC (0xF980…),"19,200",PRISMA,0.887347,17037.0624,282736.5926373962,0xdA47862a83dac0c112BA89c6abC2159b95afd71C,Prisma Governance Token,0.0603,0xa6aac19201e0ecb7ddba429814d238186f6f4126c5f794b889c61d4c88cf2f2d,0x4ef82d6579ccc8c8bccbc4c384395d284a80c8711af161789d794fb8c2420f36,19057546.0,"19,200",0.887347,17037.0624,271314.7246519883,0xdA47862a83dac0c112BA89c6abC2159b95afd71C,Prisma Governance Token,0.0628,0xa6aac19201e0ecb7ddba429814d238186f6f4126c5f794b889c61d4c88cf2f2d,0x4ef82d6579ccc8c8bccbc4c384395d284a80c8711af161789d794fb8c2420f36,19057546.0,0.0,17037.0624,
ETH+OETH (0x94B1…),"4,800,000",OGV,0.00852553,40922.544,801489.4407925525,0x9c354503C38481a7A7a51629142963F98eCC12D0,Origin DeFi Governance,0.0511,0xceea47a991203fdb341e1235e912ca4b9e1f349f3eef9211f397656c64fd5d97,0x20c617774fbd2520d1d5d99614c95bbdb97a3ede2914045dc2786f727b6797b2,19170496.0,"4,800,000",0.00852553,40922.544,987317.9035157148,0x9c354503C38481a7A7a51629142963F98eCC12D0,Origin DeFi Governance,0.0414,0xceea47a991203fdb341e1235e912ca4b9e1f349f3eef9211f397656c64fd5d97,0x20c617774fbd2520d1d5d99614c95bbdb97a3ede2914045dc2786f727b6797b2,19170496.0,0.0,40922.544,
pxETH+vETH (0x7F20…),4,WETH,3983.72,15297.484799999998,367739.35186955257,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,0.0416,0xa1395a4400ce7072cf8b8defbba8654e20062f7c2851072fdb3c67e6303bc89d,0x5a8a348924a4f6d7f494d76568a5bf0eb4262ca3c50e6c59088edd991a55d699,19427500.0,nan,,,,,,nan,,,,nan,15297.484799999998,
pxETH+stETH (0x6951…),77,BTRFLY,420.18,32269.824,706823.6717871586,0xc55126051B22eBb829D00368f4B12Bde432de5Da,BTRFLY,0.0457,0x633f944b31ca7958dff4c6c99947440b214105309afd5a5cdf08e7b8c99cb920,0x34f5d5e0440db781d34fecb10d34766de1d63b0191c7df24743ec8a8e3fd1a53,19433234.0,86,325.31,28106.784000000003,656365.912434803,0xc55126051B22eBb829D00368f4B12Bde432de5Da,BTRFLY,0.0428,0xbabf2f85f0b7e30ad8fb6d253e1d1cd175af097f39d88d68215c00409f486002,0x334f6f0e8d2765398c2b89ac89a0f84d3c7b8a9182e72247285a7d24afc7dcb4,19335970.0,14.8,32269.824,
MIM+3Crv (0x5a6A…),"96,000,000",SPELL,0.0014053,134908.8,3526162.1955158315,0x090185f2135308BaD17527004364eBcC2D37e5F6,Spell Token,0.0383,0x7fa33e00184de4332b5b3beee3e89cf78eaec575c15e79457df2c632391e3a31,0x22c3470ba9f89a7954acb71fe793ce3152dca2ed2c257871ecd34488da08f17a,19433988.0,"121,440,000",0.00152674,185407.3056,4048054.3223910895,0x090185f2135308BaD17527004364eBcC2D37e5F6,Spell Token,0.0458,0x9d46d0bc284eaa3df2255b6fa5ac5937549b3230065dd41aaec5163d76b02843,0x0393764c56be8a62b84f747858862d7ec8d9e1cf48ab9ad5feeb268c7aca7d07,19361411.0,-27.2,134908.8,
crvUSD+frxETH+SDT (0x9543…),240,sdFXS,7.425305091596166,1782.0732219830795,24531.413967448552,0x402F878BDd1f5C66FdAF0fabaBcF74741B68ac36,Stake DAO FXS,0.0726,0xc5aee88ddafb3cd9d53b3420bf2857c7460c8438094db47947463afcb1959ab3,0x3bcf292a929035f291c8a3fffc7f756da72519d19f62ffbf8e3019c24b00da95,19439716.0,nan,,,,,,nan,,,,nan,1782.0732219830795,
WETH+CVX (0xB576…),"19,576",CVX,4.56,89268.0192,2295609.1983525148,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0389,0x7ae3fd2130c536f70cbaa9a197d8eb39111133ed6974df23d52f535c25290504,0xbab3b0847a00f966ffa018b960eac5df83601754392c44070c371b0348423d86,19444460.0,"20,282",5.07,102829.3344,2631303.9650507374,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0391,0xc1d9aa435349fc9dbef60c4d64f5b33ff5efd88d8c67450ccb4a225786d006e1,0x6c441e86a858cef4d6f9d827edc4bf72074ce46bb9d1281c675f5759fbdceeb8,19338261.0,-13.2,89268.0192,
CVX+FRAXBP (0xBEc5…),622,CVX,4.56,2836.6848,36600.06831689095,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0775,0x7ae3fd2130c536f70cbaa9a197d8eb39111133ed6974df23d52f535c25290504,0xbab3b0847a00f966ffa018b960eac5df83601754392c44070c371b0348423d86,19444460.0,644,5.07,3265.8912,41647.30864698941,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0784,0xc1d9aa435349fc9dbef60c4d64f5b33ff5efd88d8c67450ccb4a225786d006e1,0x6c441e86a858cef4d6f9d827edc4bf72074ce46bb9d1281c675f5759fbdceeb8,19338261.0,-13.1,2836.6848,
frxETH+CVX (0x47D5…),"5,377",CVX,4.56,24518.9376,331088.1791971528,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0741,0x7ae3fd2130c536f70cbaa9a197d8eb39111133ed6974df23d52f535c25290504,0xbab3b0847a00f966ffa018b960eac5df83601754392c44070c371b0348423d86,19444460.0,"5,570",5.07,28239.494400000003,367909.89629857824,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,Convex Token,0.0768,0xc1d9aa435349fc9dbef60c4d64f5b33ff5efd88d8c67450ccb4a225786d006e1,0x6c441e86a858cef4d6f9d827edc4bf72074ce46bb9d1281c675f5759fbdceeb8,19338261.0,-13.2,24518.9376,
